source,target,type,note
https://www.jbklutse.com/cyber-tips-with-jbklutse-cybersecurity-awareness-month/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/,301,Original umbrella post -> new pillar
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-8-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-8,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-9-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-9,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-10-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-10,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-11-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-11,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-12-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-12,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-13-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-13,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-14-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-14,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-15-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-15,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-16-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-16,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-17-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-17,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-18-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-18,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-20-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-20,301,Best performer (2 clicks / 36 imp) - keep prominent in pillar
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-27-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-27,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-28-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-28,301,
https://www.jbklutse.com/cyber-tips-with-jbklutse-october-29-2025/,https://www.jbklutse.com/cybersecurity-awareness-month-2025/#oct-29,301,
